greedy,0,0,642,124,0.838120104439,1.0,0.911931818182
graph,1,3,707,55,0.92782152231,0.995774647887,0.960597826087
math,0,0,625,141,0.81592689295,1.0,0.898634076204
dp,0,0,627,139,0.818537859008,1.0,0.900215362527
greedy,0,0,642,124,0.838120104439,1.0,0.911931818182
graph,7,6,704,49,0.934926958831,0.991549295775,0.962406015038
math,0,0,625,141,0.81592689295,1.0,0.898634076204
dp,0,0,627,139,0.818537859008,1.0,0.900215362527
greedy,0,0,642,124,0.838120104439,1.0,0.911931818182
graph,8,9,701,48,0.935914552737,0.987323943662,0.960932145305
math,0,0,625,141,0.81592689295,1.0,0.898634076204
dp,0,0,627,139,0.818537859008,1.0,0.900215362527
